cave,country,countryCode,county,id,latitude,locations,longitude,name,names,region,riggings,massifs,massif
Kelly Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90428,37.6513283,,-92.04535205,Kelly Cave,Kelly Cave,Missouri,,,
Kerr Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90429,37.78832975,,-92.17910982,Kerr Cave,Kerr Cave,Missouri,,,
Kieseweltter Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90430,37.82889,,-92.33722,Kieseweltter Cave,Kieseweltter Cave,Missouri,,,
Lane's Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90431,37.69166824,,-92.09156698,Lane's Cave,Lane's Cave,Missouri,,,
Lipscomb Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90432,37.91472,,-92.14472,Lipscomb Cave,Lipscomb Cave,Missouri,,,
Little Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90433,37.83243632,,-92.04533893,Little Cave,Little Cave,Missouri,,,
Lodge Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90434,37.891654,,-92.289534,Lodge Cave,Lodge Cave,Missouri,,,
Logan Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90435,37.79616216,,-92.20309399,Logan Cave,Logan Cave,Missouri,,,
Lost Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90436,37.73611673,,-92.10182924,Lost Cave,Lost Cave,Missouri,,,
Martin Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90437,37.67667,,-92.21528,Martin Cave,Martin Cave,Missouri,,,
